No.,JOBNAME,SCHEDTABLE,APPLICATION,SUB-APPLICATION,RUN AS,ORDER ID,ODATE,START TIME,END TIME,RUN TIME,RUN COUNTER,ENDED STATUS,HOST,CPUTIME
10,PMFICP0004,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR,sentry,3z6tg,20250114,2025-01-15 4:08:00,2025-01-15 4:11:39,0:03:39,1,OK,PE-SENTRY-00,0:00:00
11,PMFICP0004,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR,sentry,42k1z,20250115,2025-01-16 4:05:27,2025-01-16 4:09:06,0:03:39,1,OK,PE-SENTRY-00,0:00:00
12,PMFICP0004,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR,sentry,4660r,20250116,2025-01-17 4:06:42,2025-01-17 4:10:21,0:03:39,1,OK,PE-SENTRY-00,0:00:00
13,PMFICP0004,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR,sentry,49ntv,20250117,2025-01-18 4:05:24,2025-01-18 4:07:51,0:02:27,1,OK,PE-SENTRY-00,0:00:00
14,PMFICP0004,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR,sentry,4gaz1,20250120,2025-01-21 5:51:24,2025-01-21 5:53:50,0:02:26,1,OK,PE-SENTRY-00,0:00:00
15,PMFICP0004,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-MASTER-CCR,sentry,4j7tc,20250121,2025-01-22 4:06:44,2025-01-22 4:10:23,0:03:39,1,OK,PE-SENTRY-00,0:00:00
1,PMFICP0002,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR,sentry,2u6cw,20241231,2025-01-01 2:50:28,2025-01-01 2:52:55,0:02:27,1,OK,PE-SENTRY-00,0:00:00
2,PMFICP0002,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR,sentry,2z2yz,20250102,2025-01-03 2:36:59,2025-01-03 2:39:25,0:02:26,1,OK,PE-SENTRY-00,0:00:00
3,PMFICP0002,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR,sentry,32d5n,20250103,2025-01-04 2:13:25,2025-01-04 2:15:52,0:02:27,1,OK,PE-SENTRY-00,0:00:00
4,PMFICP0002,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR,sentry,38lb6,20250106,2025-01-07 2:44:08,2025-01-07 2:46:34,0:02:26,1,OK,PE-SENTRY-00,0:00:00
5,PMFICP0002,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR,sentry,3bs8k,20250107,2025-01-08 1:53:48,2025-01-08 1:57:27,0:03:39,1,OK,PE-SENTRY-00,0:00:00
6,PMFICP0002,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR,sentry,3f61m,20250108,2025-01-09 2:07:00,2025-01-09 2:10:40,0:03:40,1,OK,PE-SENTRY-00,0:00:00
7,PMFICP0002,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR,sentry,3m15b,20250109,2025-01-10 1:49:40,2025-01-10 1:53:20,0:03:40,1,OK,PE-SENTRY-00,0:00:00
8,PMFICP0002,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR,sentry,3pmle,20250110,2025-01-11 2:50:48,2025-01-11 2:54:28,0:03:40,1,OK,PE-SENTRY-00,0:00:00
9,PMFICP0002,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR,sentry,3vwlp,20250113,2025-01-14 2:15:57,2025-01-14 2:19:37,0:03:40,1,OK,PE-SENTRY-00,0:00:00
10,PMFICP0002,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR,sentry,3z646,20250114,2025-01-15 2:01:20,2025-01-15 2:06:31,0:05:11,1,OK,PE-SENTRY-00,0:00:00
11,PMFICP0002,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR,sentry,42jvb,20250115,2025-01-16 1:55:21,2025-01-16 1:57:48,0:02:27,1,OK,PE-SENTRY-00,0:00:00
12,PMFICP0002,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR,sentry,465fs,20250116,2025-01-17 2:05:47,2025-01-17 2:09:27,0:03:40,1,OK,PE-SENTRY-00,0:00:00
13,PMFICP0002,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR,sentry,49nir,20250117,2025-01-18 3:29:13,2025-01-18 3:31:39,0:02:26,1,OK,PE-SENTRY-00,0:00:00
14,PMFICP0002,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR,sentry,4gas3,20250120,2025-01-21 5:48:57,2025-01-21 5:51:23,0:02:26,1,OK,PE-SENTRY-00,0:00:00
15,PMFICP0002,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-RAW-CCR,sentry,4j7bu,20250121,2025-01-22 2:00:53,2025-01-22 2:04:32,0:03:39,1,OK,PE-SENTRY-00,0:00:00
1,PMFIVP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,2snk9,20241231,2025-01-01 4:00:30,2025-01-01 4:02:57,0:02:27,1,OK,PE-SENTRY-00,0:00:00
2,PMFIVP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,2xdeu,20250102,2025-01-03 4:00:34,2025-01-03 4:03:01,0:02:27,1,OK,PE-SENTRY-00,0:00:00
3,PMFIVP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,30ln3,20250103,2025-01-04 4:00:31,2025-01-04 4:02:57,0:02:26,1,OK,PE-SENTRY-00,0:00:00
4,PMFIVP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,3708i,20250106,2025-01-07 4:00:34,2025-01-07 4:03:01,0:02:27,1,OK,PE-SENTRY-00,0:00:00
5,PMFIVP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,3a1tg,20250107,2025-01-08 4:00:34,2025-01-08 4:03:00,0:02:26,1,OK,PE-SENTRY-00,0:00:00
6,PMFIVP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,3dfq5,20250108,2025-01-09 4:00:38,2025-01-09 4:03:04,0:02:26,1,OK,PE-SENTRY-00,0:00:00
7,PMFIVP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,3jxa0,20250109,2025-01-10 4:00:39,2025-01-10 4:04:19,0:03:40,1,OK,PE-SENTRY-00,0:00:00
8,PMFIVP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,3npi0,20250110,2025-01-11 4:00:26,2025-01-11 4:02:52,0:02:26,1,OK,PE-SENTRY-00,0:00:00
9,PMFIVP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,3u8yf,20250113,2025-01-14 4:00:26,2025-01-14 4:02:53,0:02:27,1,OK,PE-SENTRY-00,0:00:00
10,PMFIVP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,3xfu5,20250114,2025-01-15 4:00:39,2025-01-15 4:04:19,0:03:40,1,OK,PE-SENTRY-00,0:00:00
11,PMFIVP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,40tn8,20250115,2025-01-16 4:00:33,2025-01-16 4:02:59,0:02:26,1,OK,PE-SENTRY-00,0:00:00
12,PMFIVP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,448wf,20250116,2025-01-17 4:00:35,2025-01-17 4:03:01,0:02:26,1,OK,PE-SENTRY-00,0:00:00
13,PMFIVP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,47qjc,20250117,2025-01-18 4:00:31,2025-01-18 4:02:57,0:02:26,1,OK,PE-SENTRY-00,0:00:00
14,PMFIVP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,4e2ny,20250120,2025-01-21 4:00:26,2025-01-21 4:02:52,0:02:26,1,OK,PE-SENTRY-00,0:00:00
15,PMFIVP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,4hftu,20250121,2025-01-22 4:00:38,2025-01-22 4:03:04,0:02:26,1,OK,PE-SENTRY-00,0:00:00
1,PMFICP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,2snk7,20241231,2025-01-01 2:48:02,2025-01-01 2:50:28,0:02:26,1,OK,PE-SENTRY-00,0:00:00
2,PMFICP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,2xdes,20250102,2025-01-03 2:34:33,2025-01-03 2:36:59,0:02:26,1,OK,PE-SENTRY-00,0:00:00
3,PMFICP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,30ln1,20250103,2025-01-04 2:10:41,2025-01-04 2:13:07,0:02:26,1,OK,PE-SENTRY-00,0:00:00
4,PMFICP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,3708g,20250106,2025-01-07 2:41:41,2025-01-07 2:44:07,0:02:26,1,OK,PE-SENTRY-00,0:00:00
5,PMFICP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,3a1te,20250107,2025-01-08 1:51:20,2025-01-08 1:53:47,0:02:27,1,OK,PE-SENTRY-00,0:00:00
6,PMFICP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,3dfq3,20250108,2025-01-09 2:04:33,2025-01-09 2:06:59,0:02:26,1,OK,PE-SENTRY-00,0:00:00
7,PMFICP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,3jx9y,20250109,2025-01-10 1:47:14,2025-01-10 1:49:40,0:02:26,1,OK,PE-SENTRY-00,0:00:00
8,PMFICP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,3nphy,20250110,2025-01-11 2:48:21,2025-01-11 2:50:48,0:02:27,1,OK,PE-SENTRY-00,0:00:00
9,PMFICP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,3u8yd,20250113,2025-01-14 2:13:31,2025-01-14 2:15:57,0:02:26,1,OK,PE-SENTRY-00,0:00:00
10,PMFICP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,3xfu3,20250114,2025-01-15 1:57:39,2025-01-15 2:01:20,0:03:41,1,OK,PE-SENTRY-00,0:00:00
11,PMFICP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,40tn6,20250115,2025-01-16 1:52:55,2025-01-16 1:55:21,0:02:26,1,OK,PE-SENTRY-00,0:00:00
12,PMFICP0001,CR-PEMFIDIA-T02,MFI-PE-DATIO,MFI-HAMMURABI-CCR,sentry,448wd,20250116,2025-01-17 2:03:20,2025-01-17 2:05:46,0:02:26,1,OK,PE-SENTRY-00,0:00:00
